KAB_KOTA,PROVINSI,layer,path,2020,2021,2022,2023,2024,2025
KOTA PEMATANGSIANTAR,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,116.79327520347385,113.99029362932346,105.75933773757967,0.0,104.36345481777334,107.23737649339944
KOTA SIBOLGA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,106.2487598750689,108.47151157449936,101.33073442954253,0.0,102.69745544736358,102.6768441117031
KOTA SUBULUSSALAM,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,213.79652866825427,215.54394119802163,215.51854735299506,0.0,216.4089118886243,215.04774226048727
KOTA TANJUNG BALAI,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,117.5368469321342,118.11126560558547,112.60191704632862,0.0,111.82054737715116,110.48859446635247
KOTA TEBING TINGGI,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,107.26446401036894,104.67829448702764,93.41591360255993,0.0,87.32479321705873,92.30611298576504
LABUHANBATU,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,143.02337877263002,148.32630526473056,146.63173239850968,0.0,135.07269551324129,146.46892772613003
LABUHANBATU SELATAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,160.7877542430438,166.19090476098864,161.99493649095697,0.0,156.08857448575736,164.2759457762527
LABUHANBATU UTARA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,159.09998894227132,160.5928845413712,160.2929828792508,0.0,158.95265615960068,161.21132308171914
LANGKAT,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,165.13168711235784,165.78300791851396,163.78946792439766,0.0,164.12245886292473,166.14023351340586
MANDAILING NATAL,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,193.67755628624673,193.9137935057878,194.8851130966594,0.0,193.71790466358405,194.12930515840586
NIAS,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,176.69420454855194,174.623734911719,172.1172877996952,0.0,168.75973122116315,170.22852777919235
NIAS BARAT,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,171.41571473549095,172.35850198997343,166.1132659004377,0.0,163.88777726154217,169.00969666890086
NIAS SELATAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,184.04929475088832,142.9279961367731,186.8663059968122,36.55874294014006,184.1286099973857,182.74176004230225
NIAS UTARA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,174.83800373953142,172.9129025858078,171.49751652957622,0.0,167.708090178581,173.85633039485904
PADANG LAWAS,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,173.3271911805931,175.93182866204194,175.71479552322313,0.0,174.27680093987172,175.40661235577792
PADANG LAWAS UTARA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,165.64285262040133,168.10982693466136,167.99331650374475,0.0,167.73111658762127,167.5684057619705
PAKPAK BHARAT,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,199.502666678373,199.80272320641652,200.73284657532582,0.0,200.72865262245733,198.69629148353047
PASAMAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,209.82508593709917,211.16860345800626,214.21177723051665,0.0,214.78610640808577,214.72173054230157
PASAMAN BARAT,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,210.0470764751322,211.7776605858934,212.16544357953532,0.0,211.8155861905045,209.03266508678666
ROKAN HILIR,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,157.80251254814988,163.55802789774717,161.78673108041556,0.0,155.71133087618145,162.85161083226333
ROKAN HULU,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,159.98733793159246,159.82420760937723,160.4183943849997,0.0,157.28490824775722,160.94462873439997
SAMOSIR,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,158.70998624309448,159.71006852469097,160.4820488983649,0.0,161.84960403141534,155.88849088202457
SERDANG BEDAGAI,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,146.34465073694545,144.56219641776363,142.98768954363752,0.0,139.640959297608,144.39800047867163
SIMALUNGUN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,163.00213565198803,161.53110334840719,160.7120822527734,0.0,160.35992816668403,161.74239860010346
TAPANULI SELATAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,189.15339097857537,190.49992139285177,191.91365376462514,0.0,189.30627256810715,191.48936684672643
TAPANULI TENGAH,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,179.31539381326328,179.67715132415097,179.4115996272884,0.0,177.06912839531736,179.46407107271978
TAPANULI UTARA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,185.34544008252666,187.1920864207447,188.15135918543584,0.0,186.92477255731126,186.0189846162481
TOBA SAMOSIR,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,179.4829313116242,179.47546694957933,177.45534178007196,0.0,178.19313485996764,179.36767290676227
